cod_art;cod_artp;des_art;cod_cat;cat;familia;des_fam;nombre;precio_v;cod_pro;ACTIVO;ruta_img
7095;7519345;SOFT CARE MED H5 6X800ML;237;LINEA SOFT CARE LINE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;85;400000001;1;
7097;100860440;SOFT CARE DES E Spray H5 (2x5L);237;LINEA SOFT CARE LINE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;65,03;400000001;1;
7100;7513851;SOFT CARE BULK SOAP DISPENSER 1PC;160;DISPENSADOR JABÓN;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;35,47;400000001;1;C:\SALIDA\img\007100.JPG
7110;100854982;SOFT CARE SENSISEPT H34 6X800ML;237;LINEA SOFT CARE LINE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;124,63;400000001;1;
7117;7514295;SOAP DISPENSER SOFT CARE LINE 1PC;237;LINEA SOFT CARE LINE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;27,33;400000001;1;
7125;7519459;SOFT CARE SENSATIONS LUX 2IN1 24X250ML;238;LINEA SOFT CARE SELECT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;114,87;400000001;1;
7130;7519458;SOFT CARE LUX HAND SOAP h28 24X0,25l W1;238;LINEA SOFT CARE SELECT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;133,45;400000001;1;
7135;7518642;SOFT CARE SENSATIONS DOVE 2IN1 24X250ML;238;LINEA SOFT CARE SELECT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;150,96;400000001;1;
7215;;SOFT CARE CREMA H8 (20L);240;JABONES INDUSTRIALES;7;JOHNSON - JONCLEAN;DIVERSEY ESPAÑA, S.L.;70,87;400000001;1;
7225;7513494;SOFT CARE TOILETSEATCLEANER 12X300ML;;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;133,36;400000001;1;
7235;7514368;SOFT CARE FOAM H2 (6Ux700ML);235;JABONES EN ESPUMA;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;59,49;400000001;1;
7240;7514369;SOFT CARE FOAM ANTI-BAC H4 (6Ux700ML);235;JABONES EN ESPUMA;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;71,98;400000001;1;
7365;6125710;SOFT CARE TEX H42 2X3.88KG We;241;TOALLAS Y ESPONJAS IMPREGNADAS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;219,33;400000001;1;
7525;7512993;DI TP 16 (2U.X5L.);208;MULTIUSOS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;13,82;400000001;1;
7535;7515299;DI JD TP 16 (10U.X1,5L.);208;MULTIUSOS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;26,76;400000001;1;
7550;7515309;DI GRAFFITI (6U.X1L.);344;OTROS QUIMICOS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;202,45;400000001;1;
7602;6973000;SOFT CARE STAR H1 (2U.X5L.);233;JABONES A GRANEL;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,3;400000001;1;C:\SALIDA\img\007602.jpg
7610;6973020;SOFT CARE SILK H200 (2X5L);233;JABONES A GRANEL;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;36,32;400000001;1;
7620;7515116;SOFT CARE PLUS H400 (2X5L) HC;233;JABONES A GRANEL;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;61,44;400000001;1;
7630;6973080;SOFT CARE ALCOPLUS H500 (2X5L);233;JABONES A GRANEL;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;66,4;400000001;1;
7635;7511719;SOFT CARE SPORT H6 (2X5L);233;JABONES A GRANEL;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;52,26;400000001;1;
7640;7517387;SOFT CARE MED H5 6X0.5L We;234;JABONES PELICANO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;61,64;400000001;1;
7645;7514297;FOAM DISPENSER SOFT CARE 1PC;160;DISPENSADOR JABÓN;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;2,83;400000001;1;
7646;7516572;FOAM TRIGGER CANYON WHITE 5L 1P(PULV.ESPUM;280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;13,56;400000001;1;
7655;7514461;FOAM BUG BLASTERS DISPENSER 1PC;160;DISPENSADOR JABÓN;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;27,9;400000001;1;
7705;7508292;SUMA TEMPO L1,7 (20L);175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;110;400000001;1;C:\SALIDA\img\007705.JPG
7710;7010074;SUMA ULTRA L2 (20L.);175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;78,95;400000001;1;C:\SALIDA\img\007710.JPG
7713;7510152;SUMA ULTRA L2 (10L.) Sp;175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;50,26;400000001;1;
7715;7508307;SUMA NOVA L6 (2X5L);175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;70,59;400000001;1;C:\SALIDA\img\007715.jpg
7718;7510153;SUMA NOVA L6 (10L.) Sp We65;175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;77,96;400000001;1;C:\SALIDA\img\007718.jpg
7720;7515154;SUMA ULTRA L2  (2U.X5L.);175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;39,82;400000001;1;C:\SALIDA\img\007720.png
7721;7516282;SUMA ULTRA PUR-ECO l2D 2x5L;178;GAMA PUR ECO LAVADO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;48,52;400000001;1;
7722;7516283;SUMA ULTRA PUR-ECO L2d 20L;178;GAMA PUR ECO LAVADO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;91,74;400000001;1;C:\SALIDA\img\007722.jpg
7725;7508308;SUMA NOVA L6 (20L);175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;143,85;400000001;1;C:\SALIDA\img\007725.JPG
7730;7508334;SUMA UNISON SUPER G1 3X4.5KG;175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;178,02;400000001;1;C:\SALIDA\img\007730.JPG
7735;7010089;SUMA ALU L10 (20L);175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;169,71;400000001;1;C:\SALIDA\img\007735.JPG
7740;7508337;SUMA UNISON MAXI G3 3X4.5KG;175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;150,05;400000001;1;C:\SALIDA\img\007740.JPG
7750;7010124;SUMA CLASSIC M7 (10KG);175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;56,81;400000001;1;C:\SALIDA\img\007750.jpg
7755;7517814;SUMA TOP M40 (4KG);175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;85,64;400000001;1;C:\SALIDA\img\007755.JPG
7760;7515411;SUMA DIFY MA1 (4x0,075 KG.);175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;72,46;400000001;1;C:\SALIDA\img\007760.JPG
7765;7514105;SUMA DIFY ASMA1 (4X0.075KG.);175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;82,72;400000001;1;C:\SALIDA\img\007765.jpg
7770;7510154;SUMA ALU L10 10L SP;190;SISTEMA SAFEPACK;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;94,19;400000001;1;C:\SALIDA\img\007770.png
7775;7516706;DI MULTICLEAN VK7 20L;;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;72,85;400000001;1;
7780;7521465;SUMA COMBI LA6 (2 X 5L);175;LAVADO AUTOMATICO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;63,44;400000001;1;
